sname,sex,mom,dad,birth_date,current_status,known_age_at_censoring,known_lifespan,age_first_live_birth,current_repro_lifespan,final_repro_lifespan,num_live_births_RAW,num_surv_births_RAW,LRS_livebirths,LRS_survbirths,lifetime_rateLiveBirths,lifetime_rateSurvBirths,mom_lowQuartRank,bornInDrought,born_largeGroup,mom_died,has_CompetingSib,EarlyAdversityScore
HOS,M,HUM,TAP,5/29/08,censored_eventDriven,,,,,,0,0,,,,,0,1,1,0,0,2
HUC,F,HYM,REX,12/20/02,alive,16.51426381,,6.548939083,9.965776865,,7,5,,,,,1,0,0,0,0,1
HUD,M,HAS,QUA,12/4/10,alive,,,,,,0,0,,,,,0,0,1,0,0,1
HUM,F,HAL,AMI,11/10/95,dead,,19.24930187,5.952087611,13.29774127,13.29774127,9,6,9,6,0.676806671,0.451204447,0,0,0,1,0,1
HUN,F,HUC,RIK,11/26/10,alive,8.580189454,,6.702258727,1.87816564,,2,1,,,,,0,0,0,0,0,0
HYD,M,,,5/28/00,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
HYM,F,HAL,PLA,9/6/97,dead,,16.96325905,5.28678987,11.67693361,11.67693361,9,7,9,7,0.770750293,0.59947245,0,0,0,1,0,1
HYR,M,HEI,NEP,8/17/89,censored_eventDriven,,,,,,0,0,,,,,0,0,1,0,0,1
IAG,M,,,6/26/89,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
ICA,M,,,11/29/86,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
IDI,M,,,5/27/90,dead,,,,,,0,0,,,,,0,0,0,0,0,0
IGU,F,VIG,GAN,9/17/07,dead,,11.31248973,8.131416838,3.181382615,3.181382615,2,1,2,1,0.628657487,0.314328744,1,1,0,0,0,2
ILA,M,VIG,KOR,7/22/10,alive,,,,,,0,0,,,,,1,0,0,0,0,1
IRI,F,VIG,GAN,11/22/05,dead,,9.806713026,6.165639973,3.641341547,3.641341547,3,1,3,1,0.82387218,0.27462406,1,0,0,0,0,1
ISO,M,ONY,LOB,9/10/06,alive,,,,,,0,0,,,,,1,0,0,1,0,2
ISR,M,,,5/22/95,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
IVY,F,OAS,THR,11/20/10,alive,8.602091661,,5.347022587,3.255304586,,2,1,,,,,1,0,0,0,0,1
JAG,M,,,11/7/89,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
JIJ,M,,,10/28/96,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
JIL,F,,,7/1/98,alive,,,,,,0,0,,,,,0,0,0,0,0,0
JOB,M,,,4/28/95,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
KAF,M,KOL,DUB,2/10/07,censored_eventDriven,,,,,,0,0,,,,,1,1,1,0,0,3
KAG,M,,,9/29/97,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
KAT,F,KUP,,3/9/81,dead,,26.58654109,8.643394935,17.94387406,17.94387406,2,2,2,2,0.111458651,0.111458651,0,0,0,0,0,0
KEL,F,KPM,,2/4/86,dead,,26.73985654,6.669404517,20.07118412,20.07118412,9,8,9,8,0.448404038,0.398581367,0,0,0,0,0,0
KER,M,KEL,PEP,10/6/92,censored_eventDriven,,,,,,0,0,,,,,0,0,1,0,0,1
KEY,M,KEL,AMA,7/25/00,censored_eventDriven,,,,,,0,0,,,,,1,0,0,0,1,2
KHA,M,,,7/4/89,dead,,,,,,0,0,,,,,0,0,0,0,0,0
KIJ,M,KEL,VAN,8/16/03,dead,,11.03049882,,,,0,0,,,,,1,0,0,0,0,1
KIL,M,,,9/7/91,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
KIP,M,KIW,VEI,7/21/05,censored_eventDriven,,,,,,0,0,,,,,1,0,1,1,0,3
KIV,M,KOL,DUB,7/17/05,dead,,3.6248152,,,,0,0,,,,,1,0,1,0,0,2
KIW,F,KEL,ALE,7/11/98,dead,,10.68827684,7.028062971,3.660506502,3.660506502,3,2,3,2,0.819558714,0.546372476,0,0,0,0,0,0
KNO,F,KEL,VOY,4/4/07,censored_groupDropped,9.187975689,,7.578370979,1.609856263,,1,0,,,,,0,0,1,0,0,1
KOA,F,KIW,DUB,3/17/07,alive,11.97776926,,5.941136208,6.036960986,,2,0,,,,,1,1,1,1,0,4
KOL,F,KEL,KEI,10/9/94,dead,,16.98516125,6.406570842,10.57905544,10.57905544,6,5,6,5,0.567158385,0.472631988,0,0,0,0,0,0
KOM,M,KEL,VOY,9/9/05,alive,,,,,,0,0,,,,,1,0,1,0,0,2
KOR,M,KEL,ALE,12/9/01,alive,,,,,,0,0,,,,,1,0,0,0,0,1
KRA,M,,,6/29/95,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
KRI,M,KOL,VAN,1/23/03,censored_eventDriven,,,,,,0,0,,,,,1,0,0,0,0,1
KUT,M,KOL,VAN,3/6/01,censored_eventDriven,,,,,,0,0,,,,,1,0,0,0,0,1
LAA,M,LAN,HAP,2/12/06,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
LAD,F,LAR,KEI,8/9/93,dead,,23.14515687,5.029431896,18.11635866,18.11635866,11,8,11,8,0.607186036,0.441589844,0,0,0,0,0,0
LAF,F,LAO,NIN,9/3/07,alive,11.51234737,,8.629705681,2.882956879,,1,0,,,,,0,1,0,0,0,1
LAH,F,LOL,SAW,9/16/04,dead,,12.73613317,7.742642026,4.993839836,4.993839836,4,0,4,0,0.800986842,0,1,0,0,0,1,2
LAL,F,LIM,ROC,9/18/00,dead,,2.316158353,,,,0,0,,,,,0,0,0,0,0,0
LAN,F,LAD,IAG,1/21/00,censored_groupDropped,16.33083283,,6.061601643,10.2696783,,7,4,,,,,0,0,0,0,0,0
LAO,F,LAD,TIN,10/30/01,alive,17.35476099,,5.84257358,11.51266256,,5,3,,,,,0,0,0,0,0,0
LAQ,F,LAD,RAJ,5/28/07,censored_groupDropped,10.30498823,,5.850787132,4.454483231,,3,0,,,,,0,1,0,0,0,1
LAR,F,LON,CUI,12/23/87,dead,,13.2535728,5.629021218,7.624914442,7.624914442,6,4,6,4,0.786894075,0.52459605,0,0,0,0,0,0
LAS,F,LEL,NEL,11/7/90,dead,,18.39511581,6.05065024,12.3449692,12.3449692,8,7,8,7,0.648037259,0.567032601,0,0,0,0,0,0
LAT,M,LAR,JIT,5/1/97,dead,,17.71888518,,,,0,0,,,,,0,0,0,1,1,2
LAV,F,LON,RUT,7/21/92,dead,,17.14669003,7.249828884,9.897330595,9.897330595,6,3,6,3,0.606224066,0.303112033,0,0,1,1,0,2
LAW,M,LAR,PLA,1/4/00,dead,,16.77982807,,,,0,0,,,,,0,1,0,1,1,3
LAX,M,LIM,FAV,1/23/98,dead,,18.59223567,,,,0,0,,,,,0,0,0,0,1,1
LAZ,F,LIM,PEP,9/12/91,dead,,20.75507857,5.716632444,15.03901437,15.03901437,10,9,10,9,0.664937193,0.598443474,0,0,0,0,1,1
LEB,M,LAZ,BEA,5/31/97,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
LEC,M,LAZ,ISR,12/15/04,alive,,,,,,0,0,,,,,0,0,1,0,0,1
LEF,F,LYE,ARA,12/26/08,alive,10.20369052,,,,,0,0,,,,,0,1,1,0,0,2
LEH,M,LYC,ORN,3/30/08,censored_groupDropped,,,,,,0,0,,,,,1,1,1,0,0,3
LEI,F,LAS,ORY,3/20/00,alive,19.15895526,,6.357289528,12.80219028,,7,2,,,,,0,0,0,0,1,1
LEJ,F,LIW,RAJ,4/19/08,alive,10.8853967,,5.661875428,5.223819302,,2,0,,,,,0,1,0,0,0,1
LEQ,F,LAD,ANE,2/8/11,censored_groupDropped,2.195696216,,,,,0,0,,,,,0,0,1,0,0,1
LES,M,LOL,MOR,1/21/03,dead,,3.24426436,,,,0,0,,,,,1,0,0,0,0,1
LEU,M,LAN,RAJ,7/12/09,censored_groupDropped,,,,,,0,0,,,,,0,0,0,0,1,1
LEX,M,LAR,LIO,9/13/98,censored_eventDriven,,,,,,0,0,,,,,0,0,0,1,1,2
LEY,F,LAN,RAJ,10/6/07,alive,11.42200077,,6.442162902,4.980150582,,2,0,,,,,0,1,0,0,0,1
LIB,M,LEL,POL,9/28/92,dead,,16.80446805,,,,0,0,,,,,0,0,0,1,0,1
LID,F,LIM,POL,1/26/93,dead,,12.30904014,6.042436687,6.266940452,6.266940452,4,4,4,4,0.638269987,0.638269987,0,0,0,0,0,0
LIM,F,LON,,10/31/85,dead,,25.16015989,5.864476386,19.29637235,19.29637235,11,11,11,11,0.570055335,0.570055335,0,0,0,0,0,0
LIT,F,LAD,KRA,7/23/04,dead,,10.92920112,7.154004107,3.775496235,3.775496235,2,1,2,1,0.52973169,0.264865845,0,0,0,0,1,1
LIV,F,LYM,DAG,11/16/08,censored_groupDropped,6.589826425,,5.84257358,0.747433265,,1,0,,,,,1,1,1,0,0,3
LIW,F,LAD,CHA,8/20/98,censored_groupDropped,19.49570169,,7.405886379,12.09034908,,6,3,,,,,0,0,0,0,1,1
LIX,F,LOL,SCO,3/24/11,alive,8.262607458,,6.458590007,1.804243669,,2,0,,,,,1,0,1,0,0,2
LIZ,F,LIM,ROC,10/19/96,alive,22.5756995,,5.316906229,17.25941136,,9,5,,,,,1,0,0,0,1,2
LOA,F,LAD,TOG,1/6/06,alive,13.16870175,,5.768651608,7.400410678,,3,0,,,,,0,0,0,0,1,1
LOB,M,LAZ,ALE,2/15/99,alive,,,,,,0,0,,,,,0,0,0,0,0,0
LOC,F,LIM,DEN,10/1/94,censored_groupDropped,19.60521273,,5.979466119,13.62628337,,7,6,,,,,0,0,0,0,0,0
LOD,F,LAS,ELV,12/8/07,censored_groupDropped,7.339977003,,,,,0,0,,,,,0,0,1,1,0,2
LOF,M,LAM,FAV,5/21/92,dead,,19.42999507,,,,0,0,,,,,1,0,1,1,1,4
LOG,M,LUN,ALE,3/23/99,alive,,,,,,0,0,,,,,1,0,0,0,0,1
LOJ,M,LEI,VEI,4/22/08,censored_eventDriven,,,,,,0,0,,,,,0,1,1,0,0,2
LOL,F,LIN,CHA,7/27/97,dead,,19.35607512,5.486652977,13.86995209,13.86995209,9,7,9,7,0.648884722,0.504688117,1,0,0,1,0,2
LOM,F,LIZ,NAF,2/12/02,censored_groupDropped,12.67863987,,6.173853525,6.50513347,,5,2,,,,,0,0,0,0,0,0
LOP,F,LOL,KAG,12/13/06,alive,12.53901331,,5.029431896,7.509924709,,5,2,,,,,1,0,0,0,0,1
LOS,M,LIM,VOY,4/5/07,censored_groupDropped,,,,,,0,0,,,,,0,0,1,1,0,2
LOU,M,LAZ,DEA,6/15/03,dead,,12.39938674,,,,0,0,,,,,0,0,1,0,0,1
LOX,F,LAZ,ROC,8/19/00,censored_groupDropped,16.4814105,,6.29705681,10.18480493,,5,2,,,,,0,0,0,0,1,1
LOY,M,LIW,EXO,1/15/06,dead,,2.228549526,,,,0,0,,,,,0,0,0,0,0,0
LOZ,M,LUN,BEA,8/21/97,censored_eventDriven,,,,,,0,0,,,,,1,0,0,0,0,1
LUD,M,LID,AMA,1/17/02,dead,,7.715052292,,,,0,0,,,,,0,0,0,1,0,1
LUF,F,LYM,ELV,12/1/06,censored_groupDropped,7.879318841,,6.006844627,1.872689938,,1,0,,,,,1,0,1,0,0,2
LUG,M,LIN,JIT,12/4/93,censored_eventDriven,,,,,,0,0,,,,,1,0,0,0,0,1
LUI,M,LAS,ROC,11/25/96,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
LUM,F,LID,VAN,8/19/00,dead,,2.891091277,,,,0,0,,,,,0,0,0,0,1,1
LUN,F,LAM,,7/24/86,dead,,25.28062202,6.113620808,19.16769336,19.16769336,8,6,8,6,0.417368947,0.31302671,1,0,0,0,0,1
LUO,M,LIM,VIP,2/17/04,alive,,,,,,0,0,,,,,0,1,1,0,0,2
LUP,F,LID,ORY,2/11/99,alive,20.37452773,,6.940451745,13.43463381,,10,8,,,,,0,0,0,0,0,0
LUR,F,LAZ,ROC,12/3/01,censored_groupDropped,14.52116301,,5.943874059,8.577686516,,5,2,,,,,0,0,0,0,0,0
LUS,M,LYE,DUB,8/6/05,censored_groupDropped,,,,,,0,0,,,,,0,0,1,0,1,2
LUT,M,LAS,DEA,12/23/02,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
LUV,F,LOL,RAJ,10/21/09,alive,9.683513114,,6.004106776,3.679671458,,3,1,,,,,1,0,0,0,1,2
LUX,F,LID,VEI,1/1/04,alive,15.48759788,,5.897330595,9.590691307,,7,4,,,,,0,0,1,1,0,2
LUZ,M,LUP,VEI,1/20/06,alive,,,,,,0,0,,,,,1,0,1,0,0,2
LYB,F,LAZ,VOY,7/5/06,alive,12.97979521,,5.423682409,7.556468172,,5,4,,,,,0,0,1,0,0,1
LYC,F,LUN,VAN,10/6/02,dead,,9.631495373,5.481177276,4.150581793,4.150581793,2,2,2,2,0.481860158,0.481860158,1,0,0,0,1,2
LYE,F,LIM,ALE,7/13/99,alive,19.846137,,6.067077344,13.77960301,,8,3,,,,,0,0,0,0,1,1
LYL,M,LAD,NIN,1/11/09,censored_groupDropped,,,,,,0,0,,,,,0,0,0,0,1,1
LYM,F,LUN,ALE,12/28/00,censored_groupDropped,16.12276187,,5.924709103,10.19849418,,5,3,,,,,1,0,0,0,0,1
MAH,M,MBE,TOG,10/2/06,censored_eventDriven,,,,,,0,0,,,,,1,0,0,0,0,1
MBE,F,MYS,FEL,7/21/99,alive,19.9364836,,6.368240931,13.5687885,,12,4,,,,,1,0,0,0,0,1
MEC,M,MET,,1/8/94,censored_groupDropped,,,,,,0,0,,,,,1,0,0,0,1,2
MEG,M,MBE,ANE,6/30/10,censored_eventDriven,,,,,,0,0,,,,,1,0,1,0,0,2
MER,F,MON,,11/9/11,alive,7.627443465,,7.290896646,0.336755647,,1,0,,,,,1,0,0,1,0,2
MES,M,MIC,RAJ,10/15/08,censored_eventDriven,,,,,,0,0,,,,,1,1,0,0,0,2
MEX,M,MYS,ZAI,2/24/01,dead,,2.650167004,,,,0,0,,,,,1,0,0,0,0,1
MIA,F,MBE,LAX,8/8/08,alive,10.8853967,,6.507871321,4.377823409,,2,2,,,,,1,1,0,0,0,2
MIC,F,MYS,ZIN,1/7/03,alive,16.16656628,,5.771389459,10.39561944,,6,2,,,,,1,1,0,1,0,3
MLO,M,MOJ,,9/8/87,censored_eventDriven,,,,,,0,0,,,,,1,0,0,0,0,1
MOG,M,,,8/9/06,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
MOH,M,MON,TAP,4/22/08,dead,,2.053331873,,,,0,0,,,,,1,1,1,0,0,3
MON,F,HAM,EXO,7/21/99,dead,,13.51913705,7.550992471,5.968514716,5.968514716,4,2,4,2,0.670183486,0.335091743,1,0,0,0,0,1
MOR,M,,,1/1/87,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
MOZ,M,,,7/28/93,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
MUF,F,MYS,CHA,8/17/97,dead,,3.433170892,,,,0,0,,,,,1,0,0,0,0,1
MYS,F,MOJ,PEP,12/28/91,dead,,14.30487872,5.637234771,8.668035592,8.668035592,6,4,6,4,0.692198358,0.461465572,1,1,0,1,0,3
NAF,M,NIP,POL,10/19/92,dead,,11.57257844,,,,0,0,,,,,0,0,1,1,0,2
NAG,M,NAP,KRA,6/26/05,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,1,1
NAI,F,NIX,JIT,3/7/96,dead,,8.955264743,5.754962355,3.20054757,3.20054757,2,2,2,2,0.624893071,0.624893071,0,1,0,0,0,1
NAK,F,NOB,RAJ,4/27/10,alive,9.168811258,,6.39835729,2.770704997,,2,0,,,,,0,0,1,0,0,1
NAP,F,NIX,KEI,2/1/94,dead,,21.69413568,5.697467488,15.99726215,15.99726215,10,7,10,7,0.625106966,0.437574876,0,0,1,0,0,1
NAR,F,NAI,ZAI,12/8/01,alive,17.55188085,,6.349075975,11.20328542,,3,2,,,,,0,0,0,1,0,1
NAW,M,NAD,EDW,9/5/97,censored_eventDriven,,,,,,0,0,,,,,0,0,0,1,0,1
NEA,F,NOO,RAJ,9/4/08,alive,10.81147676,,6.896646133,3.915126626,,2,1,,,,,1,1,0,0,0,2
NEH,M,NAP,TOG,6/21/08,alive,,,,,,0,0,,,,,0,1,0,0,0,1
NER,M,NOB,RAJ,9/15/07,alive,,,,,,0,0,,,,,0,1,0,0,0,1
NES,F,NYA,YOY,1/2/00,dead,,4.815747687,,,,0,0,,,,,0,1,0,1,0,2
NET,M,NIX,FEL,11/23/97,alive,,,,,,0,0,,,,,0,0,0,1,0,1
NGA,M,NAP,ANE,12/4/10,alive,,,,,,0,0,,,,,0,0,1,0,0,1
NIK,F,NYA,AMI,1/5/98,alive,21.46963807,,7.06091718,14.40930869,,5,5,,,,,0,0,0,0,0,0
NIN,M,,,7/27/97,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
NIO,F,NAR,RAJ,4/14/08,alive,11.2029787,,7.446954141,3.75633128,,3,2,,,,,0,1,0,0,0,1
NIR,M,NAP,ZIN,4/21/03,censored_groupDropped,,,,,,0,0,,,,,0,0,0,0,0,0
NIX,F,NEE,,1/3/82,dead,,18.36773805,6.023271732,12.3449692,12.3449692,7,5,7,5,0.567032601,0.405023287,0,0,0,0,0,0
NJU,M,NIG,CHA,10/29/97,dead,,12.05990254,,,,0,0,,,,,0,0,0,1,0,1
NOA,M,,,8/1/86,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
NOB,F,NIG,PEP,11/16/93,dead,,21.81459782,6.047912389,15.76728268,15.76728268,8,6,8,6,0.507379753,0.380534815,0,0,0,0,0,0
NOJ,M,NAI,KRA,1/21/04,censored_eventDriven,,,,,,0,0,,,,,0,0,0,1,0,1
NOK,M,NOB,IAG,3/8/03,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
NOM,F,NOO,TOG,7/13/06,alive,12.95789301,,6.603696099,6.354551677,,3,1,,,,,0,0,0,0,0,0
NON,M,NIK,YOB,6/14/07,censored_eventDriven,,,,,,0,0,,,,,0,1,1,0,0,2
NOO,F,NOB,IAG,12/4/99,alive,19.56414609,,6.606433949,12.95824778,,6,5,,,,,0,1,0,0,0,1
NOP,M,NOB,MOR,8/10/05,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
NOS,M,NIK,EBA,1/27/05,censored_eventDriven,,,,,,0,0,,,,,0,0,1,0,0,1
NOZ,M,NAP,KIL,9/21/00,alive,,,,,,0,0,,,,,0,0,0,0,0,0
NTA,M,NIK,RIK,10/2/10,alive,,,,,,0,0,,,,,0,0,1,0,0,1
NUM,M,,,8/28/90,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
NUN,M,NAP,TOG,11/15/06,alive,,,,,,0,0,,,,,0,0,0,0,0,0
NUT,F,NAD,ELF,8/17/95,dead,,14.04479001,7.978097194,6.067077344,6.067077344,4,1,4,1,0.659296029,0.164824007,0,0,0,1,0,1
NUZ,F,NUT,JOB,4/6/07,alive,12.22143131,,6.417522245,5.804243669,,3,3,,,,,0,0,1,1,0,2
NYA,F,NAZ,,12/11/83,dead,,18.49641351,5.722108145,12.77481177,12.77481177,6,5,6,5,0.469674239,0.391395199,0,0,1,1,0,2
NYL,M,NYA,AMI,8/2/95,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
NYS,F,NOO,SCO,9/6/10,alive,8.807424848,,6.291581109,2.516084873,,1,1,,,,,1,0,1,0,0,2
NYU,M,NYO,KEI,3/20/92,censored_eventDriven,,,,,,0,0,,,,,1,0,1,0,0,2
OAS,F,ORI,VAP,7/10/05,alive,13.96539451,,5.363449692,8.602327173,,6,4,,,,,1,0,0,1,0,2
OBI,F,OCH,TUZ,1/9/96,dead,,8.974429174,5.486652977,3.488021903,3.488021903,2,2,2,2,0.573390895,0.573390895,1,0,0,1,0,2
OBL,M,OFR,LAX,4/18/06,alive,,,,,,0,0,,,,,0,0,0,1,0,1
OBR,M,,,11/10/94,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
OCE,M,OMO,VEG,12/28/96,censored_eventDriven,,,,,,0,0,,,,,1,0,0,0,1,2
OCT,F,OMO,POW,12/25/03,dead,,4.933472047,,,,0,0,,,,,0,0,0,1,0,1
ODE,M,OFR,POW,5/25/03,alive,,,,,,0,0,,,,,0,0,0,0,0,0
OFR,F,OMO,INZ,1/11/92,dead,,16.07621968,6.625598905,9.451060917,9.451060917,6,4,6,4,0.634849363,0.423232908,0,0,0,0,0,0
OIL,F,OMO,POW,10/16/01,dead,,2.067020752,,,,0,0,,,,,0,0,0,1,1,2
OJU,M,,,5/27/96,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
OKO,M,OMO,TUZ,5/16/95,censored_eventDriven,,,,,,0,0,,,,,1,0,0,0,0,1
OMO,F,ORE,,7/25/83,dead,,21.54629579,6.729637235,14.81724846,14.81724846,11,8,11,8,0.742378049,0.539911308,0,1,0,0,0,1
ONY,F,OST,POW,12/4/00,dead,,8.25439413,5.765913758,2.488706366,2.488706366,2,1,2,1,0.803630363,0.401815182,1,0,0,1,1,3
OOZ,M,OFR,POW,5/18/01,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
OPA,F,OPH,LOB,8/12/06,alive,12.87575973,,9.108829569,3.767282683,,2,0,,,,,0,0,0,1,0,1
OPH,F,OMO,EDW,1/24/99,dead,,10.10513059,7.54825462,2.557152635,2.557152635,1,1,1,1,0.391059957,0.391059957,1,0,0,0,1,2
OPR,F,OST,POW,10/6/03,dead,,1.089634781,,,,0,0,,,,,1,0,0,1,0,2
OPU,F,OBI,POW,7/5/01,dead,,1.511252259,,,,0,0,,,,,1,0,0,1,0,2
ORB,M,,,7/6/89,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
ORI,F,OST,POW,6/9/99,dead,,8.177736407,6.0862423,2.091718001,2.091718001,1,1,1,1,0.478075916,0.478075916,1,0,0,0,1,2
ORN,M,,,5/28/93,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
OST,F,ORE,INZ,1/10/92,dead,,12.53353775,5.919233402,6.614647502,6.614647502,5,2,5,2,0.755898179,0.302359272,0,0,0,1,1,2
OTI,M,,,6/20/91,censored_eventDriven,,,,,,0,0,,,,,0,0,0,0,0,0
OXY,F,OFR,POW,6/29/99,dead,,11.51508514,7.509924709,4.005475702,4.005475702,2,0,2,0,0.499316473,0,1,0,0,0,0,1
OZO,F,OMO,POW,5/30/00,dead,,3.734326233,,,,0,0,,,,,0,0,0,0,1,1
PAE,M,PAI,VAP,11/22/08,censored_groupDropped,,,,,,0,0,,,,,0,1,1,0,0,2
PAI,F,PRU,ROC,4/21/00,alive,19.07134644,,6.929500342,12.14236824,,5,3,,,,,0,0,0,0,0,0
PAX,F,PAI,ZAM,6/19/10,censored_groupDropped,2.10808739,,,,,0,0,,,,,0,0,1,0,0,1
PEB,F,PRU,ROC,9/13/98,alive,20.10075015,,5.94661191,14.15468857,,9,5,,,,,0,0,0,0,0,0
PEC,M,PEB,ISR,8/24/04,censored_eventDriven,,,,,,0,0,,,,,0,0,1,0,0,1
PEM,F,PRU,ROC,1/29/02,dead,,6.759568527,5.889117043,0.87063655,0.87063655,1,0,1,0,,,0,0,0,1,1,2
